straat;geometry;huisnr;karakter;eigenaar;capaciteit;openbaar;ondergrond;bestemming;status;urid;naam;naamid;bezettingsinfo;bronid;betrokkenadressen;timestampbron;geo_point_2d
;"{""coordinates"": [[[3.714136721733764, 51.062721431705874], [3.714114490227129, 51.0627326975703], [3.714096614651288, 51.06271868849147], [3.714118846157922, 51.06270742262369], [3.714136721733764, 51.062721431705874]]], ""type"": ""Polygon""}";;Gent;Stad Gent;5;Ja;Materiaal Beton;Voetpad;Actief;mob/ftsst21195;;False;;17028330_1;Filips van Cleeflaan to 155;2025-09-29T08:54:39Z;51.062720060097554, 3.7141166681926205
Nadine Crappéstraat;"{""coordinates"": [[[3.69022861021588, 51.05434002407104], [3.690235912620818, 51.05431802751095], [3.690263834056468, 51.054321710262705], [3.69025653254986, 51.05434370682101], [3.69022861021588, 51.05434002407104]]], ""type"": ""Polygon""}";12;Gent;Stad Gent;6;Ja;Ineengrijpende Betonstenen;Voetpad;Actief;mob/ftsst21158;;False;False;17028244_1;Nadine Crappéstraat 12;2023-09-18T15:37:14Z;51.054330867221275, 3.6902462223298245
Krijgslaan;"{""coordinates"": [[[3.712174200180336, 51.026935481045854], [3.712202096463133, 51.02693918744486], [3.712194750939067, 51.0269611772327], [3.712166852859609, 51.02695747140047], [3.712174200180336, 51.026935481045854]]], ""type"": ""Polygon""}";248;Gent;Stad Gent;5;Ja;;Onbekend / Niet op o;Actief;mob/ftsst21291;;False;False;17028378_1;Krijgslaan 248;2023-06-26T12:10:20Z;51.02694832937122, 3.712184474995229
Opgeëistenlaan;"{""coordinates"": [[[3.717004823247039, 51.0649272751864], [3.71701578628675, 51.064921572801296], [3.717038489408927, 51.064938897301076], [3.717027502114695, 51.06494460589391], [3.717004823247039, 51.0649272751864]]], ""type"": ""Polygon""}";451;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21254;;False;False;17028302_1;Opgeeistenlaan 451/457;2025-09-29T08:55:09Z;51.064933090226106, 3.7170216537849368
Botestraat;"{""coordinates"": [[[3.703354317040333, 51.08806527520115], [3.703345529720192, 51.08807286216552], [3.703315915858544, 51.08805881223051], [3.703324823552896, 51.088051282817815], [3.703354317040333, 51.08806527520115]]], ""type"": ""Polygon""}";98a;Nietje - Gewone fiet;Privé;2;Ja;Halfharde verharding;Grasachtigen;Actief;mob/ftsst21468;;False;False;17028394_1;Botestraat 98a;2023-06-26T12:10:22Z;51.08806206072025, 3.7033351436243427
Spaanskasteelplein;"{""coordinates"": [[[3.738335776012583, 51.05419397925218], [3.738363261765374, 51.05419879360743], [3.738353716267149, 51.054220446341766], [3.738326231412689, 51.05421563198876], [3.738335776012583, 51.05419397925218]]], ""type"": ""Polygon""}";19;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21113;;False;False;17028175_1;Spaanskasteelplein 19;2025-07-31T07:48:20Z;51.0542072127454, 3.7383447464038406
Opgeëistenlaan;"{""coordinates"": [[[3.717410655142956, 51.064742657783256], [3.717399640000879, 51.06474832518898], [3.717381098773455, 51.064734035015185], [3.717392153441336, 51.064728353494246], [3.717410655142956, 51.064742657783256]]], ""type"": ""Polygon""}";451;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21249;;False;False;17028358_1;Opgeeistenlaan 451/457;2025-09-29T08:54:32Z;51.06473833924742, 3.717395881746795
Blandijnberg;"{""coordinates"": [[[3.725690354353147, 51.044026156735775], [3.725668977144285, 51.0440266034859], [3.725667794961372, 51.04400414341625], [3.725689172170234, 51.044003696665904], [3.725690354353147, 51.044026156735775]]], ""type"": ""Polygon""}";2;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21235;;False;False;17028350_1;Blandijnberg 2;2023-06-26T12:10:18Z;51.044015150075964, 3.7256790746572777
Land van Rodelaan;"{""coordinates"": [[[3.755370014909042, 51.034759541635566], [3.755352684610571, 51.034773817899726], [3.755324384085813, 51.03476015681658], [3.755341714384284, 51.03474588054823], [3.755370014909042, 51.034759541635566]]], ""type"": ""Polygon""}";9;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21264;;False;False;17028313_1;Land van Rodelaan 9;2025-08-06T08:53:03Z;51.03475984922469, 3.7553471994971543
Braemkasteelstraat;"{""coordinates"": [[[3.762374053415154, 51.03742378454924], [3.762386030652855, 51.03742668573181], [3.762375806028292, 51.03744346355626], [3.762363828790591, 51.03744056237474], [3.762374053415154, 51.03742378454924]]], ""type"": ""Polygon""}";26;Nietje - Gewone fiet;Stad Gent;2;Ja;Materiaal Beton;Parkeerstrook;Actief;mob/ftsst21449;;False;False;17028428_1;Braemkasteelstraat 26;2023-06-26T12:10:24Z;51.03743362405293, 3.762374929721708
Krijgslaan;"{""coordinates"": [[[3.712292270249706, 51.02690688356877], [3.712320167430834, 51.02691058997005], [3.712312821906769, 51.02693258033647], [3.712284922928979, 51.02692887393694], [3.712292270249706, 51.02690688356877]]], ""type"": ""Polygon""}";248;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21298;;False;False;17028385_1;Krijgslaan 248;2023-06-26T12:10:21Z;51.026919732062794, 3.7123025455669945
Sint-Pietersnieuwstraat;"{""coordinates"": [[[3.726512516755657, 51.04481569861979], [3.72651401604388, 51.04482264317744], [3.726519036727991, 51.04484489670499], [3.726491333582969, 51.044847452341386], [3.726484776779688, 51.04481807804582], [3.726512516755657, 51.04481569861979]]], ""type"": ""Polygon""}";198;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst21181;Vooruit;True;False;17028239_1;Sint-Pietersnieuwstraat 198;2023-06-26T12:10:06Z;51.044831536317986, 3.7265018900646307
Karel Van Hulthemstraat;"{""coordinates"": [[[3.723032871841341, 51.04415753891791], [3.722996850296797, 51.044166106780175], [3.722988041417125, 51.04415138835526], [3.723024061165076, 51.04414281992549], [3.723032871841341, 51.04415753891791]]], ""type"": ""Polygon""}";36;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21533;;False;False;17028541_1;Karel Van Hulthemstraat 36;2023-06-26T12:10:29Z;51.0441544634959, 3.7230104563836814
Koningin Fabiolalaan;"{""coordinates"": [[[3.706573502624487, 51.03775454078734], [3.706539807716491, 51.03776186825423], [3.706529445649706, 51.03774449686867], [3.706563745123881, 51.03773693893282], [3.706573502624487, 51.03775454078734]]], ""type"": ""Polygon""}";28;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21287;;False;False;17028374_1;Koningin Fabiolalaan 28;2023-09-28T16:26:19Z;51.03774943005773, 3.70655162325318
Land van Rodelaan;"{""coordinates"": [[[3.757593767445406, 51.03555086213158], [3.757578029859923, 51.03556585387347], [3.757548306403829, 51.03555345273927], [3.757564043090982, 51.03553845929865], [3.757593767445406, 51.03555086213158]]], ""type"": ""Polygon""}";10A;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21275;;False;False;17028366_1;Land van Rodelaan 10A;2025-08-06T11:25:12Z;51.035552156868896, 3.757571036630197
Krijgslaan;"{""coordinates"": [[[3.712365690456145, 51.02691585520631], [3.712393587637339, 51.026919561041865], [3.712386242113206, 51.02694155140404], [3.712358344033749, 51.02693784500527], [3.712365690456145, 51.02691585520631]]], ""type"": ""Polygon""}";248;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21292;;False;False;17028384_1;Krijgslaan 248;2023-06-26T12:10:21Z;51.02692870323869, 3.712375966082217
Koophandelsplein;"{""coordinates"": [[[3.720929180939311, 51.050335443480606], [3.720946797800389, 51.050349584496615], [3.720918555666176, 51.05036359901227], [3.720900937906833, 51.05034946477714], [3.720929180939311, 51.050335443480606]]], ""type"": ""Polygon""}";23;Gent;Stad Gent;5;Ja;Betontegels;Voetpad;Niet-actief;mob/ftsst21479;;False;False;17028497_1;Koophandelsplein 23/24;2024-04-24T08:31:10Z;51.05034952237731, 3.720923868429542
Kortrijksesteenweg;"{""coordinates"": [[[3.716787750748489, 51.036691817047014], [3.716775066536673, 51.03667827120014], [3.716808216167297, 51.036665931370806], [3.716821029736495, 51.03667942864149], [3.716787750748489, 51.036691817047014]]], ""type"": ""Polygon""}";501;Gent;Stad Gent;5;Ja;KWS;Fietspad/voetpad;Actief;mob/ftsst21774;;False;False;17028796_1;Kortrijksesteenweg 501;2023-09-20T17:47:13Z;51.036678866487165, 3.716798019880329
Edward Anseeleplein;"{""coordinates"": [[[3.725898229899747, 51.05806255940794], [3.72590009300566, 51.05806260740067], [3.725901915687371, 51.058062860350596], [3.72590363865607, 51.05806330809455], [3.725905212504452, 51.05806393764626], [3.725906589621802, 51.058064730373225], [3.725907728685589, 51.05806566143215], [3.725908592864863, 51.058066701462785], [3.725909155210246, 51.058067822234094], [3.725909403145245, 51.05806898761044], [3.725909324093501, 51.05807016089136], [3.725908924343192, 51.058071309328994], [3.725908214674152, 51.05807239622301], [3.725907215747513, 51.05807338769615], [3.725905958106177, 51.05807425608209], [3.725904481275815, 51.05807497371438], [3.725902828375689, 51.05807551744364], [3.72590105240636, 51.05807587371901], [3.725899202775203, 51.05807602898955], [3.72589733966929, 51.058075979867596], [3.72589551878424, 51.05807572748234], [3.72589379401888, 51.05807527917391], [3.725892221068829, 51.05807464962235], [3.725890843053148, 51.05807385746019], [3.725889703989361, 51.05807292696602], [3.725888841606748, 51.058071885806285], [3.725888276566374, 51.05807076559968], [3.725888029529705, 51.05806960078806], [3.725888107683119, 51.05806842637783], [3.725888508331758, 51.05806727794012], [3.725889218000798, 51.05806619217525], [3.725890216927437, 51.05806520013736], [3.725891475467105, 51.05806433118663], [3.725892951399135, 51.058063614118794], [3.725894603400931, 51.0580630703894], [3.725896382065184, 51.058062714113916], [3.725898229899747, 51.05806255940794]]], ""type"": ""Polygon""}";3;Pedalo;Stad Gent;2;Ja;KWS;Parkeerstrook;Gepland verwijderd;mob/ftsst21697;;False;False;17028709_1;Edward Anseeleplein 3;2025-09-24T11:48:10Z;51.05806929382895, 3.725898716394911
Loofblommestraat;"{""coordinates"": [[[3.668840365596386, 51.02395266207393], [3.668867939384025, 51.02395722135101], [3.668864321868381, 51.023965917256824], [3.668836747182477, 51.023961357415544], [3.668840365596386, 51.02395266207393]]], ""type"": ""Polygon""}";93;Pedalo;Stad Gent;2;Ja;Betonstenen;Voetpad;Gepland verwijderd;mob/ftsst21713;;False;False;17028753_1;Loofblommestraat 93;2024-02-02T11:29:40Z;51.02395928956918, 3.668852343598997
Kortrijksesteenweg;"{""coordinates"": [[[3.716646245429974, 51.03663866623933], [3.716621302807833, 51.03663829172285], [3.716622219089405, 51.03661402722779], [3.716647164406537, 51.03661430627945], [3.716646245429974, 51.03663866623933]]], ""type"": ""Polygon""}";501;Gent;Stad Gent;5;Ja;KWS;Fietspad/voetpad;Actief;mob/ftsst21768;;False;False;17028790_1;Kortrijksesteenweg 501;2023-09-20T17:47:13Z;51.03662632304801, 3.7166342410917563
Schoolkaai;"{""coordinates"": [[[3.738067284845505, 51.05617253431858], [3.738102298480372, 51.056176785518666], [3.738096904097069, 51.056194438525516], [3.738061890462268, 51.05619018732706], [3.738067284845505, 51.05617253431858]]], ""type"": ""Polygon""}";38;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21780;;False;False;17028802_1;Schoolkaai 38;2024-11-27T19:56:08Z;51.056183486422405, 3.738082094471052
Blandijnberg;"{""coordinates"": [[[3.725096955124213, 51.04401786503073], [3.72509827654601, 51.044040322269765], [3.725073341110313, 51.04404090513441], [3.725072019688515, 51.04401844846047], [3.725096955124213, 51.04401786503073]]], ""type"": ""Polygon""}";2;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21597;;False;False;17028607_1;Blandijnberg 2;2025-08-28T13:11:22Z;51.04402938522012, 3.7250851481693332
Wolfputstraat;"{""coordinates"": [[[3.764364343690659, 51.09317379211236], [3.764378961076963, 51.09314794025889], [3.764406099181677, 51.093153521249945], [3.764391228470459, 51.09317981994033], [3.764364343690659, 51.09317379211236]]], ""type"": ""Polygon""}";92;Gent;Stad Gent;5;Ja;KWS;Voetpad;Actief;mob/ftsst21540;;False;False;17028548_1;Wolfputstraat 92;2023-06-26T12:10:29Z;51.09316377663397, 3.7643851967161837
Franklin Rooseveltlaan;"{""coordinates"": [[[3.732717561308733, 51.042390178144544], [3.732744905127717, 51.04239529533613], [3.732732785057877, 51.042421034914305], [3.732705395424842, 51.042416035771076], [3.732717561308733, 51.042390178144544]]], ""type"": ""Polygon""}";505;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst12891;;False;False;17028823_1;Franklin Rooseveltlaan 505;2024-11-26T20:28:10Z;51.04240563343525, 3.7327251517726663
Bommelstraat;"{""coordinates"": [[[3.726542857354357, 51.03251281003191], [3.726573921096921, 51.032530010509696], [3.726555121154666, 51.03254343610896], [3.726524131073997, 51.03252618253255], [3.726542857354357, 51.03251281003191]]], ""type"": ""Polygon""}";21;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst21720;;False;False;17028760_1;Bommelstraat 21;2023-09-26T17:29:48Z;51.03252811547565, 3.726549017854785
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724778334371042, 51.03661027810656], [3.72477682789631, 51.03663048166932], [3.724751905935368, 51.03662974336895], [3.72475341061344, 51.03660953980587], [3.724778334371042, 51.03661027810656]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21647;;False;False;17028663_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:05:05Z;51.03662001061673, 3.724765119718491
Steendam;"{""coordinates"": [[[3.729202803046605, 51.05788316110075], [3.729208598078547, 51.057865557295294], [3.729243513796998, 51.057870121140915], [3.72923768642576, 51.05788782601209], [3.729202803046605, 51.05788316110075]]], ""type"": ""Polygon""}";27/29;Gent;Stad Gent;5;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst21747;;False;False;17028782_1;Steendam 27/29;2023-06-26T12:10:47Z;51.057876668623514, 3.729223166954376
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724244311985789, 51.03659368469685], [3.724245850799817, 51.03657303599073], [3.724270777252344, 51.03657371893355], [3.724269233946664, 51.0365944229978], [3.724244311985789, 51.03659368469685]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21618;;False;False;17028632_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:06:05Z;51.03658371578809, 3.724257549060001
Ganzendries;"{""coordinates"": [[[3.711134547562625, 51.03352657654921], [3.711161132305193, 51.03353307142852], [3.711148254955601, 51.03355402485089], [3.711121671111363, 51.03354752997453], [3.711134547562625, 51.03352657654921]]], ""type"": ""Polygon""}";162;Gent;Stad Gent;5;Ja;Overlaging;Rijweg;Actief;mob/ftsst12893;;False;False;17028825_1;Ganzendries 162;2025-09-19T12:15:07Z;51.033540300654245, 3.711141401535191
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724626559512175, 51.03660588106542], [3.72462809832627, 51.036585232929625], [3.724653024778797, 51.03658591587223], [3.724651481473117, 51.03660661993106], [3.724626559512175, 51.03660588106542]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21637;;False;False;17028654_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:05:04Z;51.03659591258752, 3.7246397966429243
Wolfputstraat;"{""coordinates"": [[[3.764497402150534, 51.093230100706414], [3.764483544738976, 51.09325460917493], [3.764456406634261, 51.09324902932447], [3.764470518269066, 51.09322407232078], [3.764497402150534, 51.093230100706414]]], ""type"": ""Polygon""}";92;Gent;Stad Gent;5;Ja;KWS;Voetpad;Actief;mob/ftsst21553;;False;False;17028561_1;Wolfputstraat 92;2023-06-26T12:10:30Z;51.09323944414926, 3.7644769270931073
Abeelstraat;"{""coordinates"": [[[3.733233030788467, 51.05056767669276], [3.733251721136277, 51.05055409650231], [3.733278649035203, 51.05056882588119], [3.733259832923266, 51.050582500938866], [3.733233030788467, 51.05056767669276]]], ""type"": ""Polygon""}";24A;Gent;Stad Gent;5;Ja;Ineengrijpende Betonstenen;Rijweg;Actief;mob/ftsst12879;;False;False;17028816_1;Abeelstraat 24A;2023-06-26T12:10:50Z;51.05056828355582, 3.7332558236511457
Steendam;"{""coordinates"": [[[3.729348238494488, 51.05790259427588], [3.729354033526431, 51.05788499047781], [3.729388949244881, 51.05788955375693], [3.729383121873644, 51.05790725918528], [3.729348238494488, 51.05790259427588]]], ""type"": ""Polygon""}";27/29;Gent;Stad Gent;5;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21744;;False;False;17028779_1;Steendam 27/29;2023-06-26T12:10:47Z;51.057896101679326, 3.7293686024886696
Kasteellaan;"{""coordinates"": [[[3.739605902196211, 51.04944606253866], [3.739632970232351, 51.04946068836045], [3.739614405648668, 51.04947433663851], [3.739587335815867, 51.04945971082103], [3.739605902196211, 51.04944606253866]]], ""type"": ""Polygon""}";56;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21760;;False;False;17028786_1;Kasteellaan 56;2024-11-27T20:11:09Z;51.04946019958285, 3.7396101533213932
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724702905531561, 51.036608974359076], [3.724704444345655, 51.03658832622462], [3.724729370798115, 51.036589009167216], [3.724727827492502, 51.03660971322462], [3.724702905531561, 51.036608974359076]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21642;;False;False;17028658_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:05:04Z;51.036599005881826, 3.724716142662285
Voldersstraat;"{""coordinates"": [[[3.72486593268767, 51.05225442306909], [3.724850840990832, 51.05223406312358], [3.724870222143143, 51.052228355786795], [3.724885313839914, 51.05224871517015], [3.72486593268767, 51.05225442306909]]], ""type"": ""Polygon""}";2;Nietje - Buitenmaats;Stad Gent;2;Ja;Natuursteen Platienen;Voetpad;Actief;mob/ftsst21797;;False;False;17028814_1;Voldersstraat 2;2025-05-13T14:43:19Z;51.05224138932812, 3.7248680774009753
Blandijnberg;"{""coordinates"": [[[3.725072019688515, 51.04401844846047], [3.725073341110313, 51.04404090513441], [3.72504840387802, 51.0440414885639], [3.72504708245629, 51.04401903132543], [3.725072019688515, 51.04401844846047]]], ""type"": ""Polygon""}";2;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21596;;False;False;17028606_1;Blandijnberg 2;2025-08-28T13:11:21Z;51.04402996837476, 3.7250602117312637
Koningin Astridlaan;"{""coordinates"": [[[3.714718451847136, 51.036240249590115], [3.714725389536052, 51.03626402565437], [3.714700879901845, 51.03626696588673], [3.714693915263482, 51.0362430966177], [3.714718451847136, 51.036240249590115]]], ""type"": ""Polygon""}";94;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21575;;False;False;17028585_1;Koningin Astridlaan 94;2023-09-28T16:15:37Z;51.03625358539968, 3.714709651149737
Schoolkaai;"{""coordinates"": [[[3.736659816136512, 51.056053224445925], [3.736694829771312, 51.05605747622162], [3.736689435388008, 51.056075129273964], [3.736654421753208, 51.05607087749985], [3.736659816136512, 51.056053224445925]]], ""type"": ""Polygon""}";23;Gent;Stad Gent;5;Ja;Betonstenen;Rijweg;Actief;mob/ftsst21775;;False;False;17028797_1;Schoolkaai 23;2024-04-22T17:10:01Z;51.05606417686028, 3.7366746257620145
Steendam;"{""coordinates"": [[[3.729360918214719, 51.05795271633684], [3.729366713246661, 51.05793511255783], [3.729401628965111, 51.05793967583201], [3.729395801593874, 51.05795738124118], [3.729360918214719, 51.05795271633684]]], ""type"": ""Polygon""}";27/29;Gent;Stad Gent;5;Ja;Materiaal Beton;Fietspad/voetpad;Actief;mob/ftsst21731;;False;False;17028766_1;Steendam 27/29;2023-06-26T12:10:45Z;51.05794622374733, 3.7293812822088985
;"{""coordinates"": [[[3.718813057353786, 51.05285985164729], [3.718811433199767, 51.05292356996023], [3.718783072487937, 51.05292335876877], [3.718784756829094, 51.052859695794574], [3.718813057353786, 51.05285985164729]]], ""type"": ""Polygon""}";;Voorwielklem enkel;Privé;24;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21711;;False;;17028751_1;Sint-Michiels 2/106;2025-06-03T17:24:11Z;51.05289163059891, 3.7187980817043393
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724442757018526, 51.03659893132183], [3.72444429493429, 51.03657828318293], [3.724469222285148, 51.03657896612564], [3.724467678081137, 51.03659966962268], [3.724442757018526, 51.03659893132183]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21629;;False;False;17028645_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:06:05Z;51.03658896257285, 3.7244559936581494
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724145383218438, 51.03659105460557], [3.724146917540947, 51.036570462951396], [3.724171844891804, 51.03657114476447], [3.724170306077709, 51.036591792906556], [3.724145383218438, 51.03659105460557]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21615;;False;False;17028629_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:06:05Z;51.036581113949715, 3.724158618624642
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.72437723120678, 51.036597681237794], [3.724378769122545, 51.03657703309835], [3.724403696473335, 51.03657771604107], [3.724402152269391, 51.03659842010356], [3.72437723120678, 51.036597681237794]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21625;;False;False;17028641_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:06:05Z;51.03658771263436, 3.7243904679027224
Koningin Astridlaan;"{""coordinates"": [[[3.71490115390454, 51.03625671320255], [3.714908066440672, 51.0362803954873], [3.714883555908135, 51.036283335718615], [3.714876617320887, 51.03625955966423], [3.71490115390454, 51.03625671320255]]], ""type"": ""Polygon""}";94;Gent;Stad Gent;5;Ja;KWS;Parkeerstrook;Actief;mob/ftsst21568;;False;False;17028578_1;Koningin Astridlaan 94;2023-09-28T16:15:36Z;51.03627000207205, 3.7148923403607044
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724244311985789, 51.03659368469685], [3.724242805511056, 51.036613887701954], [3.724217883550115, 51.03661314940132], [3.724219389126517, 51.03659294583101], [3.724244311985789, 51.03659368469685]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21620;;False;False;17028634_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:06:05Z;51.03660341684275, 3.724231097492851
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724105730683493, 51.03658995308533], [3.72410422420876, 51.03661015665696], [3.724079302247818, 51.03660941779137], [3.724080807824287, 51.036589214219426], [3.724105730683493, 51.03658995308533]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21613;;False;False;17028627_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:06:04Z;51.036599685377794, 3.724092516248302
Bagattenstraat;"{""coordinates"": [[[3.72234868617488, 51.0473811352152], [3.722354655479926, 51.04739871589856], [3.722319791863774, 51.04740341913968], [3.722313823457059, 51.0473858384581], [3.72234868617488, 51.0473811352152]]], ""type"": ""Polygon""}";16;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21676;;False;False;17028690_1;Bagattenstraat 16;2023-06-26T12:10:42Z;51.04739227721134, 3.722334239275589
Wolfputstraat;"{""coordinates"": [[[3.76432479266532, 51.09315503384961], [3.764310721454718, 51.09318050261272], [3.764281271984739, 51.09317405051234], [3.764295075497405, 51.09314852363384], [3.76432479266532, 51.09315503384961]]], ""type"": ""Polygon""}";92;Gent;Stad Gent;5;Ja;KWS;Voetpad;Actief;mob/ftsst21557;;False;False;17028565_1;Wolfputstraat 92;2023-06-26T12:10:31Z;51.093164508453484, 3.764302975946176
Ossenstraat;"{""coordinates"": [[[3.739227018860488, 51.05159398885469], [3.739230141404398, 51.05158521850985], [3.739261337199268, 51.05158965817593], [3.739258266757655, 51.05159856404776], [3.739227018860488, 51.05159398885469]]], ""type"": ""Polygon""}";50;Nietje - Gewone fiet;Stad Gent;2;Ja;Betontegels;Voetpad;Actief;mob/ftsst21786;;False;False;17028808_1;Ossenstraat 50/52;2024-04-22T18:56:09Z;51.051591864811414, 3.7392442261407632
Steendam;"{""coordinates"": [[[3.729166546143421, 51.05787820710214], [3.729172341175364, 51.05786060385943], [3.729207256893814, 51.05786516714095], [3.729201429522577, 51.05788287201399], [3.729166546143421, 51.05787820710214]]], ""type"": ""Polygon""}";27/29;Gent;Stad Gent;5;Ja;Onverhard;Grasachtigen;Actief;mob/ftsst21748;;False;False;17028783_1;Steendam 27/29;2023-06-26T12:10:47Z;51.057871714784596, 3.7291869101381003
Karel Lodewijk Ledeganckstraat;"{""coordinates"": [[[3.724843776639458, 51.0366133188659], [3.724842271961387, 51.03663352242734], [3.724817348203784, 51.03663278412702], [3.724818854678517, 51.03661258056526], [3.724843776639458, 51.0366133188659]]], ""type"": ""Polygon""}";4;Gent;Stad Gent;5;Ja;Natuursteen Kasseien met geslo;Parkeerstrook;Actief;mob/ftsst21650;;False;False;17028666_1;Karel Lodewijk Ledeganckstraat 4/8;2024-11-26T19:05:05Z;51.03662305161732, 3.72483056285627
Wolfputstraat;"{""coordinates"": [[[3.764391228470459, 51.09317981994033], [3.764376863510807, 51.09320522437195], [3.764349979629271, 51.093199195983075], [3.764364343690659, 51.09317379211236], [3.764391228470459, 51.09317981994033]]], ""type"": ""Polygon""}";92;Gent;Stad Gent;5;Ja;KWS;Voetpad;Actief;mob/ftsst21544;;False;False;17028552_1;Wolfputstraat 92;2023-06-26T12:10:30Z;51.0931895080747, 3.764370603907925
Ijskelderstraat;"{""coordinates"": [[[3.7082588786414, 51.06495475964529], [3.708230855696145, 51.06495138315345], [3.708240765012061, 51.064917903312455], [3.708268787957316, 51.06492127980675], [3.7082588786414, 51.06495475964529]]], ""type"": ""Polygon""}";137;Gent;Stad Gent;5;Ja;KWS;Rijweg;Actief;mob/ftsst12906;;False;False;17028833_1;Ijskelderstraat 137;2025-09-29T08:54:42Z;51.064936331479394, 3.7082498218265862
Bagattenstraat;"{""coordinates"": [[[3.722719352620686, 51.04747347015463], [3.722717060120094, 51.047491390217246], [3.722681521869121, 51.04748958471377], [3.722683815268045, 51.04747166408569], [3.722719352620686, 51.04747347015463]]], ""type"": ""Polygon""}";43;Gent;Stad Gent;5;Ja;Betonstenen;Voetpad;Actief;mob/ftsst21670;;False;False;17028684_1;Bagattenstraat 43;2025-04-02T08:02:30Z;51.04748152732222, 3.7227004373647348
